,user_id,registered_at,age,first_purchase,before_first_purchase,since_last_purchase,total_purchases,purchase_frequency,total_expenditure,expenditure_per_transaction,brand_new_transactions,purchased amps,purchased acoustic-guitars,purchased effects-and-pedals,purchased drums-and-percussion,purchased accessories,purchased parts,purchased electric-guitars,purchased pro-audio,purchased folk-instruments,purchased bass-guitars,purchased other,purchased keyboards-and-synths,purchased dj-and-lighting-gear,purchased band-and-orchestra,purchased parts-accessories,purchased home-audio,purchased software,first_type,is_seller,first_listing_date,first_sale_date,since_last_listing,since_last_sale,before_first_listing,before_first_sale,total_sales,sales_frequency,earnings,earnings_per_sale,sold effects-and-pedals,sold electric-guitars,sold amps,sold pro-audio,sold folk-instruments,sold accessories,sold band-and-orchestra,sold acoustic-guitars,sold drums-and-percussion,sold other,sold bass-guitars,sold parts,sold keyboards-and-synths,sold dj-and-lighting-gear,sold home-audio
0,21,2012-12-10 01:58:55.076,1461,2013-09-08 14:49:51.429,273,577,2,0.0013689253935660506,10995.0,5497.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012-12-24 02:50:31.536,2013-01-06 14:48:08.761,790,788,15,28,7,0.00479123887748,71500,10214.285714285714,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0
1,255,2013-01-03 18:27:19.714,1437,2013-04-26 20:53:50.559,114,1090,2,0.0013917884481558804,3300.0,1650.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013-10-17 11:53:53.042,2014-05-19 02:10:59.750,937,923,287,501,3,0.00208768267223,19500,6500.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,258,2013-01-03 22:12:47.628,1437,2013-03-13 20:27:08.582,69,610,9,0.006263048016701462,191089.0,21232.1111111,8,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2014-05-03 17:34:10.351,2014-07-11 12:33:48.753,691,534,485,554,3,0.00208768267223,305000,101666.66666666667,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
3,280,2013-01-05 21:55:02.318,1435,2016-11-17 19:02:27.477,1412,19,2,0.0013937282229965157,25000.0,12500.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,557,2013-01-19 18:43:44.235,1421,2014-07-23 20:22:06.709,551,29,6,0.00422237860661506,17495.0,2915.83333333,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,596,2013-01-21 20:20:11.543,1419,2013-01-21 20:32:37.292,1,1214,2,0.0014094432699083862,75000.0,37500.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,661,2013-01-23 21:29:13.657,1417,2016-07-08 13:07:04.769,1262,108,3,0.002117148906139732,150800.0,50266.6666667,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,666,2013-01-23 23:19:54.176,1417,2013-01-28 01:55:22.841,5,1413,1,0.0007057163020465773,260000.0,260000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,833,2013-01-30 18:16:46.079,1410,2014-11-29 16:08:56.494,668,171,2,0.0014184397163120568,17900.0,8950.0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-02-17 16:01:11.156,2016-02-24 21:48:57.236,247,15,1113,1121,13,0.00921985815603,2905000,223461.53846153847,0,3,0,0,1,0,0,9,0,0,0,0,0,0,0
9,885,2013-01-31 22:04:22.355,1409,2013-01-31 22:05:25.726,1,132,9,0.0063875088715401,151040.0,16782.2222222,5,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013-07-17 04:32:57.153,2013-08-17 17:06:54.788,205,203,167,198,6,0.00425833924769,72500,12083.333333333334,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,900,2013-02-01 03:55:47.365,1408,2016-01-14 01:41:54.578,1077,15,5,0.0035511363636363635,53964.0,10792.8,3,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,921,2013-02-01 20:06:32.720,1408,2013-04-03 12:39:11.584,61,801,4,0.002840909090909091,37000.0,9250.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,941,2013-02-02 14:03:39.251,1407,2015-01-09 16:43:55.226,707,288,3,0.0021321961620469083,46499.0,15499.6666667,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,982,2013-02-03 07:54:46.910,1406,2013-02-03 08:05:48.004,1,1406,1,0.0007112375533428165,11000.0,11000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1154,2013-02-07 22:58:59.704,1402,2014-09-05 21:37:26.396,575,827,1,0.0007132667617689016,4672.0,4672.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
